"id","country_id:id","state_id:id","code","name","revision"
mca_area_141124,base.cn,base.state_cn_SX,"141124","临县","201904"
mca_area_141125,base.cn,base.state_cn_SX,"141125","柳林县","201904"
mca_area_141126,base.cn,base.state_cn_SX,"141126","石楼县","201904"
mca_area_141127,base.cn,base.state_cn_SX,"141127","岚县","201904"
mca_area_141128,base.cn,base.state_cn_SX,"141128","方山县","201904"
mca_area_141129,base.cn,base.state_cn_SX,"141129","中阳县","201904"
mca_area_141130,base.cn,base.state_cn_SX,"141130","交口县","201904"
mca_area_141181,base.cn,base.state_cn_SX,"141181","孝义市","201904"
mca_area_141182,base.cn,base.state_cn_SX,"141182","汾阳市","201904"
mca_area_150000,base.cn,base.state_cn_NM,"150000","内蒙古自治区","201904"
mca_area_150100,base.cn,base.state_cn_NM,"150100","呼和浩特市","201904"
mca_area_150102,base.cn,base.state_cn_NM,"150102","新城区","201904"
mca_area_150103,base.cn,base.state_cn_NM,"150103","回民区","201904"
mca_area_150104,base.cn,base.state_cn_NM,"150104","玉泉区","201904"
mca_area_150105,base.cn,base.state_cn_NM,"150105","赛罕区","201904"
mca_area_150121,base.cn,base.state_cn_NM,"150121","土默特左旗","201904"
mca_area_150122,base.cn,base.state_cn_NM,"150122","托克托县","201904"
mca_area_150123,base.cn,base.state_cn_NM,"150123","和林格尔县","201904"
mca_area_150124,base.cn,base.state_cn_NM,"150124","清水河县","201904"
mca_area_150125,base.cn,base.state_cn_NM,"150125","武川县","201904"
mca_area_150200,base.cn,base.state_cn_NM,"150200","包头市","201904"
mca_area_150202,base.cn,base.state_cn_NM,"150202","东河区","201904"
mca_area_150203,base.cn,base.state_cn_NM,"150203","昆都仑区","201904"
mca_area_150204,base.cn,base.state_cn_NM,"150204","青山区","201904"
mca_area_150205,base.cn,base.state_cn_NM,"150205","石拐区","201904"
mca_area_150206,base.cn,base.state_cn_NM,"150206","白云鄂博矿区","201904"
mca_area_150207,base.cn,base.state_cn_NM,"150207","九原区","201904"
mca_area_150221,base.cn,base.state_cn_NM,"150221","土默特右旗","201904"
mca_area_150222,base.cn,base.state_cn_NM,"150222","固阳县","201904"
mca_area_150223,base.cn,base.state_cn_NM,"150223","达尔罕茂明安联合旗","201904"
mca_area_150300,base.cn,base.state_cn_NM,"150300","乌海市","201904"
mca_area_150302,base.cn,base.state_cn_NM,"150302","海勃湾区","201904"
mca_area_150303,base.cn,base.state_cn_NM,"150303","海南区","201904"
mca_area_150304,base.cn,base.state_cn_NM,"150304","乌达区","201904"
mca_area_150400,base.cn,base.state_cn_NM,"150400","赤峰市","201904"
mca_area_150402,base.cn,base.state_cn_NM,"150402","红山区","201904"
mca_area_150403,base.cn,base.state_cn_NM,"150403","元宝山区","201904"
mca_area_150404,base.cn,base.state_cn_NM,"150404","松山区","201904"
mca_area_150421,base.cn,base.state_cn_NM,"150421","阿鲁科尔沁旗","201904"
mca_area_150422,base.cn,base.state_cn_NM,"150422","巴林左旗","201904"
mca_area_150423,base.cn,base.state_cn_NM,"150423","巴林右旗","201904"
mca_area_150424,base.cn,base.state_cn_NM,"150424","林西县","201904"
mca_area_150425,base.cn,base.state_cn_NM,"150425","克什克腾旗","201904"
mca_area_150426,base.cn,base.state_cn_NM,"150426","翁牛特旗","201904"
mca_area_150428,base.cn,base.state_cn_NM,"150428","喀喇沁旗","201904"
mca_area_150429,base.cn,base.state_cn_NM,"150429","宁城县","201904"
mca_area_150430,base.cn,base.state_cn_NM,"150430","敖汉旗","201904"
